reading_timestamp,actual_temperature,threshold_min_temperature,threshold_max_temperature,product,shipment_id,operator,unit_co2_emitted,shipment_cost_eur,label_id,in_range,out_of_range,severity,exposure,city,latitude,longitude,location_info,Market Name,Market City,Market Label,Time Lost (h)
2025-05-29 01:12:00,14.413905913067284,13,15,Bananas - Red Banana,SH1521,Savino Del Bene – OP-005,32.0,250,LOT202505-20250529-001,True,False,None,0.0,Florence,45.0703,7.6869,"45.0703, 7.6869 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-25 04:32:00,1.8447405299772526,0,4,Apples - Golden,SH1737,Italtrans – OP-004,20.0,200,LOT202503-20250325-002,True,False,None,0.0,Florence,46.4983,11.3548,"46.4983, 11.3548 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-05-28 10:15:00,2.81658835145553,1,4,Lettuce - Iceberg,SH1740,Amazon Italia Logistica – OP-010,15.0,180,LOT202505-20250528-003,True,False,None,0.0,Florence,44.6471,10.9252,"44.6471, 10.9252 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-23 04:46:00,2.5961907679138467,1,4,Lettuce - Iceberg,SH1660,BRT (Bartolini) – OP-008,15.0,180,LOT202503-20250323-004,True,False,None,0.0,Florence,45.4408,12.3155,"45.4408, 12.3155 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-20 09:05:00,3.0888357101634822,1,4,Lettuce - Iceberg,SH1411,BCUBE – OP-006,15.0,180,LOT202504-20250420-005,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-10 00:27:00,1.5837812653622623,0,4,Apples - Evelina,SH1678,BCUBE – OP-006,19.0,195,LOT202503-20250310-006,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-26 21:51:00,1.1234202584482629,0,2,Strawberries - Albion,SH1626,BRT (Bartolini) – OP-008,30.0,260,LOT202503-20250326-007,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-22 22:15:00,2.7444764215989137,1,4,Lettuce - Lollo Rosso,SH1513,Schenker Italiana – OP-007,16.0,185,LOT202503-20250322-008,True,False,None,0.0,Florence,41.4676,12.9037,"41.4676, 12.9037 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-14 08:12:00,2.0832943482322164,0,4,Apples - Fuji,SH1859,Amazon Italia Logistica – OP-010,21.0,205,LOT202504-20250414-009,True,False,None,0.0,Florence,45.4408,12.3155,"45.4408, 12.3155 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-05-28 15:30:00,11.867262860690252,10,13,Tomatoes - Cherry,SH1136,Amazon Italia Logistica – OP-010,18.0,210,LOT202505-20250528-010,True,False,None,0.0,Florence,43.8777,11.1022,"43.8777, 11.1022 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-01 16:47:00,2.390214319538635,1,4,Lettuce - Romaine,SH1811,BRT (Bartolini) – OP-008,17.0,190,LOT202503-20250301-011,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-19 07:01:00,12.16934323567871,10,13,Tomatoes - Roma,SH1076,Arcese Trasporti – OP-002,20.0,220,LOT202504-20250419-012,True,False,None,0.0,Florence,41.231,16.2973,"41.231, 16.2973 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-22 22:42:00,1.5522379888299092,0,4,Apples - Fuji,SH1636,GLS Italy – OP-009,21.0,205,LOT202504-20250422-013,True,False,None,0.0,Florence,44.0604,12.5656,"44.0604, 12.5656 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-02 23:57:00,14.605711847753211,13,15,Bananas - Red Banana,SH1973,FERCAM – OP-001,32.0,250,LOT202504-20250402-014,False,True,High,1.490534429,Florence,45.4642,9.19,"45.4642, 9.19 - Florence",MarketA,Rome,MarketA Rome,35.772826296
2025-05-16 09:42:00,1.5647118319587552,0,4,Apples - Red Delicious,SH1938,BRT (Bartolini) – OP-008,18.0,198,LOT202505-20250516-015,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-21 07:37:00,12.509406488609425,10,13,Tomatoes - Roma,SH1899,Italtrans – OP-004,20.0,220,LOT202503-20250321-016,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-30 14:32:00,10.301609202969479,10,13,Tomatoes - San Marzano,SH1280,Italtrans – OP-004,22.0,230,LOT202504-20250430-017,True,False,None,0.0,Florence,40.8518,14.2681,"40.8518, 14.2681 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-30 07:27:00,2.664197797531651,0,4,Apples - Fuji,SH1883,Savino Del Bene – OP-005,21.0,205,LOT202503-20250330-018,True,False,None,0.0,Florence,44.4949,11.3426,"44.4949, 11.3426 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-10 05:21:00,0.002837823951809881,0,2,Strawberries - Monterey,SH1761,BRT (Bartolini) – OP-008,29.0,255,LOT202503-20250310-019,True,False,None,0.0,Florence,38.1157,13.3615,"38.1157, 13.3615 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-12 12:46:00,2.0858794253369286,0,4,Apples - Golden,SH1319,Savino Del Bene – OP-005,20.0,200,LOT202504-20250412-020,True,False,None,0.0,Florence,40.8518,14.2681,"40.8518, 14.2681 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-01 23:55:00,3.1358286714316117,1,4,Lettuce - Romaine,SH1549,BRT (Bartolini) – OP-008,17.0,190,LOT202503-20250301-021,True,False,None,0.0,Florence,45.4408,12.3155,"45.4408, 12.3155 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-05-08 15:55:00,14.772588719989956,13,15,Bananas - Red Banana,SH1174,Amazon Italia Logistica – OP-010,32.0,250,LOT202505-20250508-022,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-05-09 22:06:00,1.2929449148028418,0,4,Apples - Gala,SH1371,FERCAM – OP-001,19.5,202,LOT202505-20250509-023,True,False,None,0.0,Florence,40.8518,14.2681,"40.8518, 14.2681 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-05-03 10:37:00,13.93614757846146,13,15,Bananas - Red Banana,SH1527,Amazon Italia Logistica – OP-010,32.0,250,LOT202505-20250503-024,True,False,None,0.0,Florence,45.0703,7.6869,"45.0703, 7.6869 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-19 12:20:00,12.174920960932809,10,13,Tomatoes - Roma,SH1210,GLS Italy – OP-009,20.0,220,LOT202503-20250319-025,True,False,None,0.0,Florence,38.1157,13.3615,"38.1157, 13.3615 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-04 12:44:00,14.42666269187196,13,15,Bananas - Cavendish,SH1235,BCUBE – OP-006,31.5,240,LOT202503-20250304-026,True,False,None,0.0,Florence,44.4184,12.2035,"44.4184, 12.2035 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-27 01:57:00,3.129953771038878,1,4,Lettuce - Iceberg,SH1101,SDA Express Courier – OP-003,15.0,180,LOT202504-20250427-027,True,False,None,0.0,Florence,45.4642,9.19,"45.4642, 9.19 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-10 09:07:00,2.367385565881894,0,4,Apples - Golden,SH1986,BRT (Bartolini) – OP-008,20.0,200,LOT202503-20250310-028,True,False,None,0.0,Florence,44.4949,11.3426,"44.4949, 11.3426 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-20 09:55:00,12.542947460860534,10,13,Tomatoes - Beefsteak,SH1902,GLS Italy – OP-009,19.0,215,LOT202504-20250420-029,True,False,None,0.0,Florence,37.5079,15.083,"37.5079, 15.083 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-28 04:47:00,0.8839677632156,0,2,Strawberries - Albion,SH1947,BCUBE – OP-006,30.0,260,LOT202504-20250428-030,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-01 14:59:00,1.026912272115241,0,4,Apples - Red Delicious,SH1346,Schenker Italiana – OP-007,18.0,198,LOT202504-20250401-031,True,False,None,0.0,Florence,45.4408,12.3155,"45.4408, 12.3155 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-05-20 12:33:00,1.910623105438735,0,4,Apples - Golden,SH1139,FERCAM – OP-001,20.0,200,LOT202505-20250520-032,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-06 04:51:00,1.8442964595813214,1,4,Lettuce - Butterhead,SH1621,Savino Del Bene – OP-005,14.0,175,LOT202503-20250306-033,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-05-28 16:26:00,2.076383197028037,0,4,Apples - Fuji,SH1499,Savino Del Bene – OP-005,21.0,205,LOT202505-20250528-034,True,False,None,0.0,Florence,46.4983,11.3548,"46.4983, 11.3548 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-05-18 08:31:00,1.395192181481949,1,4,Lettuce - Romaine,SH1370,Amazon Italia Logistica – OP-010,17.0,190,LOT202505-20250518-035,True,False,None,0.0,Florence,40.3529,18.1743,"40.3529, 18.1743 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-04 20:32:00,12.086010020678657,10,13,Tomatoes - Roma,SH1198,Italtrans – OP-004,20.0,220,LOT202504-20250404-036,True,False,None,0.0,Florence,39.2238,9.1217,"39.2238, 9.1217 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-25 19:55:00,2.2324684848168537,0,4,Apples - Golden,SH1687,BCUBE – OP-006,20.0,200,LOT202504-20250425-037,True,False,None,0.0,Florence,40.8518,14.2681,"40.8518, 14.2681 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-05-25 23:17:00,2.2576567839882866,0,4,Apples - Gala,SH1584,Schenker Italiana – OP-007,19.5,202,LOT202505-20250525-038,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-14 08:48:00,13.528564421134712,10,13,Tomatoes - Roma,SH1901,GLS Italy – OP-009,20.0,220,LOT202504-20250414-039,True,False,None,0.0,Florence,40.4644,17.247,"40.4644, 17.247 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-04-21 02:49:00,2.541740905625446,0,4,Apples - Renetta,SH1059,FERCAM – OP-001,20.5,210,LOT202504-20250421-040,True,False,None,0.0,Florence,38.1157,13.3615,"38.1157, 13.3615 - Florence",MarketA,Rome,MarketA Rome,0.0
2025-03-07 07:17:00,2.330419068357547,0,4,Apples - Golden,SH1328,BCUBE – OP-006,20.0,200,LOT202503-20250307-041,True,False,None,0.0,Florence,41.9028,12.4964,"41.9028, 12.4964 - Florence",MarketA,Rome,MarketA Rome,0.0
